Issuing Body,Regulation Name,Type of Regulation,Date Issued/Significantly Updated,Sector,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems (IPPS) and Long-Term Care Hospital Prospective Payment System FY 2026 Rule,Final Rule,2025-08-04,Hospitals; Long-Term Care Hospitals,Finalized,Updates Medicare hospital inpatient (IPPS) and long‑term care hospital (LTCH) PPS payment policies and rates for FY 2026; adjusts quality reporting and value‑based programs; and finalizes several policy clarifications and technical changes. Includes provisions affecting graduate medical education and hospital quality measures.,"Impacts hospital reimbursement, quality reporting, and documentation practices that interact with EHRs and AI‑enabled analytics. Changes to measure sets and program requirements shape how hospitals deploy clinical decision support and reporting automations. Budget and compliance teams should align AI/analytics workflows with updated payment and quality policies.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and
Centers for Medicare & Medicaid Services,"Medicare and Medicaid Programs; Contract Year 2026 Policy and Technical Changes to Medicare Advantage, Part D, Cost Plans, and PACE",Final Rule,2025-04-15,"Insurance (Medicare Advantage, Part D, PACE)",Finalized,"Finalizes Contract Year 2026 policy and technical changes for Medicare Advantage (Part C), Part D, cost plans, and PACE, including adjustments to the Medicare Prescription Payment Plan, D‑SNPs, Star Ratings, utilization management, and other programmatic areas. Implements IRA‑related changes and clarifies several beneficiary protections.","Affects plan operations, prior authorization, and beneficiary communications–areas where plans increasingly use AI for triage, utilization review, and member outreach. Transparency and documentation requirements inform how AI‑assisted workflows must be governed. Providers may experience updated PA processes and data exchange with MA/Part D plans.",Medium,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2025/04/15/2025-06008/medicare-and-medicaid-programs-contract-year-2026-policy-and-technical-changes-to-the-medicare
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs and CHIP; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and LTCH PPS and FY 2025 Rates; Quality Programs Requirements,Final Rule,2024-08-28,Hospitals; Long-Term Care Hospitals,Finalized,"Revises hospital inpatient (IPPS) and LTCH PPS payment rates and policies for FY 2025, updates quality and reporting programs, and makes related technical changes. Includes adjustments to graduate medical education policies and clarifications across inpatient hospital payment provisions.","Updates to quality reporting and documentation indirectly shape requirements for EHR configuration, coding, and analytics. Hospitals using AI for documentation integrity, quality tracking, or measure abstraction should confirm alignment with the updated policies. Finance and compliance teams should assess downstream impacts on revenue cycle tools.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/08/28/2024-17021/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient
Centers for Medicare & Medicaid Services,Nondiscrimination in Health Programs and Activities,Final Rule,2024-05-06,Healthcare,Finalized,"Finalizes CY 2024 updates to the Physician Fee Schedule and other Medicare Part B policies, including coding/payment updates, changes to the Quality Payment Program, and clarifications for telehealth and behavioral health services.","Updates affect clinician reimbursement and reporting that interact with EHR templates, clinical decision support, and AI‑assisted documentation. Telehealth and behavioral health provisions influence digital tools used in outpatient care and remote monitoring programs.",High,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers; Regulators & Government,https://www.federalregister.gov/documents/2024/05/06/2024-08711/nondiscrimination-in-health-programs-and-activities
Centers for Medicare & Medicaid Services,Medicare Program; Changes to MA and Part D for CY 2024 & 2025,Final Rule,2024-04-23,"Insurance (Medicare Advantage, Part D, PACE)",Finalized,"Medicare hospital outpatient (OPPS) and ambulatory surgical center (ASC) payment policies for the specified year, including packaging, device pass‑throughs, and quality reporting updates. Also includes technical corrections and clarifications.","Outpatient payment and reporting changes impact how hospitals and ASCs configure EHR charge capture, quality dashboards, and any AI‑assisted coding or utilization management tools. Device and pass‑through updates may affect adoption pathways for AI‑enabled devices and diagnostics.",Medium,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/04/23/2024-07105/medicare-program-changes-to-the-medicare-advantage-and-the-medicare-prescription-drug-benefit
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; Advancing Interoperability and Improving Prior Authorization Processes,Final Rule,2024-02-08,Health IT / EHRs,Finalized,"Improves electronic exchange of health data and streamlines prior authorization by requiring APIs (e.g., Prior Authorization Support, Patient Access, Payer‑to‑Payer), shorter PA decision timeframes, and new metrics reporting for impacted payers.","Directly affects AI‑assisted prior authorization and care coordination. Payers and providers must integrate API‑based PA workflows, which enable automation and analytics while preserving transparency, timelines, and patient access.",Medium,Transparency & Governance,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2024/02/08/2024-00895/medicare-and-medicaid-programs-patient-protection-and-affordable-care-act-advancing-interoperability
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems; Payment for Intensive Outpatient Services and Other Policies,Final Rule,2023-11-22,Healthcare,Finalized,"Finalizes CY 2025 updates to the Physician Fee Schedule and other Medicare Part B policies, including relative value unit updates, coverage/payment clarifications, and Quality Payment Program changes.","Impacts clinician billing and reporting systems that often embed AI‑assisted coding, documentation, and quality tracking. Outpatient digital health and remote monitoring programs should validate any code/payment changes.",Low,,Providers & Health Systems; Payers & Purchasers,https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2024 Physician Fee Schedule and Other Policy Changes,Final Rule,2023-11-16,Cross-cutting AI policy,Finalized,"Companion entry related to CY 2024 Physician Fee Schedule updates and associated Part B policy changes, including QPP updates and telehealth provisions.","Similar implications for EHR configurations, AI‑assisted documentation, and quality/telehealth workflows in outpatient settings.",Low,,Payers & Purchasers; Developers & Vendors; Regulators & Government,https://www.federalregister.gov/documents/2023/11/16/2023-24184/medicare-and-medicaid-programs-cy-2024-payment-policies-under-the-physician-fee-schedule-and-other
Centers for Medicare & Medicaid Services,Medicare Program: Hospital Outpatient Prospective Payment and ASC Payment Systems and Quality Reporting Programs; Organ Acquisition; Rural Emergency Hospitals and Other Policies,Final Rule,2022-11-23,Healthcare,Finalized,"Finalizes CY 2023 updates to the Physician Fee Schedule and other Medicare Part B policies, including valuation changes, telehealth flexibilities, and QPP updates.",Continues telehealth and digital health coverage pathways that underpin AI‑enabled remote care and documentation tools. Clinician groups should align AI‑assisted workflows with QPP and coding changes.,Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2022/11/23/2022-23918/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment
Centers for Medicare & Medicaid Services,Medicare and Medicaid Programs; CY 2023 Physician Fee Schedule and Other Part B Policies,Final Rule,2022-11-18,Cross-cutting AI policy,Finalized,"Updates OPPS and ASC payment policies for CY 2023, including packaging policies, device pass‑throughs, and outpatient quality reporting changes.",Outpatient coding and quality reporting are touchpoints for AI‑assisted documentation integrity and analytics. Changes may affect adoption and billing pathways for AI‑enabled devices/diagnostics.,Low,,Patients & Public; Payers & Purchasers,https://www.federalregister.gov/documents/2022/11/18/2022-23873/medicare-and-medicaid-programs-cy-2023-payment-policies-under-the-physician-fee-schedule-and-other
