Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text
Food and Drug Administration,Clinical Decision Support Software,Medical Devices,2026-01-29,Final Guidance,Final,"Final FDA guidance clarifying which clinical decision support software functions are excluded from device regulation under the 21st Century Cures Act and which remain regulated device software, with examples across different CDS use cases.","Directly shapes the regulatory treatment of clinical AI and decision-support tools used by providers, developers, and health systems by clarifying when software falls outside FDA device oversight and when it remains subject to medical device requirements.",Medium,Clinical Quality & Efficacy; Transparency & Governance; Safety & Risk,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-decision-support-software
World Health Organization,Ethics and Governance of Artificial Intelligence for Health: Guidance on Large Multi-modal Models,Guidance,2026-01-14,Final Guidance,Final,"WHO guidance setting out ethical and governance considerations for the development and use of large multi-modal models (LMMs) in health, including generative AI, with principles and recommendations for governments, developers and health institutions on risk management, transparency, accountability and oversight across the AI lifecycle.","Provides a health-specific reference for safe and responsible deployment of LMMs in clinical care, public health and health research, supporting national regulations, procurement decisions, institutional governance frameworks and risk management for generative AI tools in health.",Medium,Safety & Risk; Privacy & Data; Transparency & Governance; Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors; Regulators & Government,https://iris.who.int/items/c922c8de-c1af-498a-94db-da1e202994a3
European Medicines Agency; U.S. Food and Drug Administration,Guiding Principles for Good AI Practice in Drug Development,Drugs & Biologics,2026-01-14,Final Guidance,Final,"Joint EMA-FDA principles describing how artificial intelligence and machine learning can be responsibly integrated across the lifecycle of medicinal product development, including discovery, trial design, data management, analysis, and post-authorization activities.","Signals regulators’ expectations for safe, transparent, and robust use of AI in drug development workflows; encourages sponsors to build governance, validation, and monitoring processes that protect patients, improve evidence quality, and reduce bias in AI-enabled trials and decision making.",Medium,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance; Privacy & Data,Developers & Vendors; Regulators & Government; Providers & Health Systems,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guiding-principles-good-artificial-intelligence-practice-drug-development
New Mexico Counseling and Therapy Practice Board,NMAC 16.27.18.24 – Use of Artificial Intelligence,Cross-cutting Healthcare,2025-11-18,Final Rule,In Effect,"The New Mexico Counseling and Therapy Practice Board amended its ethics regulations to add Section 16.27.18.24 on the use of artificial intelligence in counseling and therapy practice. The rule requires licensees who use AI tools to maintain professional responsibility for clinical decisions, inform clients when AI is used in services, safeguard client confidentiality and data when interacting with AI systems, and avoid discriminatory or otherwise unethical use of AI in treatment or assessment.","The rule establishes one of the first explicit state-level professional standards for AI use in mental health care. It sets expectations that AI systems can assist but not replace licensed clinicians, encourages transparency with clients, and emphasizes privacy and nondiscrimination, which may influence how vendors design AI tools for therapy and how clinics integrate chatbots, decision-support, and other AI features into counseling workflows.",Medium,Clinical Quality & Efficacy; Safety & Risk; Equity & Bias; Transparency & Governance,Providers & Health Systems; Patients & Public; Regulators & Government; Developers & Vendors,https://www.srca.nm.gov/parts/title16/16.027.0018.html
Arizona Board of Behavioral Health Examiners,R4-6-1101 – Consent for Treatment: Artificial Intelligence Disclosure Requirement,Behavioral Health,2025-11-02,Final Rule,In Effect,"Updates Arizona behavioral-health professional rules to require consent-for-treatment materials, beginning January 1, 2027, to notify clients of the extent, if any, to which clinical services are provided through, recorded or documented with, or involve artificial intelligence, machine learning, deep learning, or another human-simulation modality. The updated rules also define artificial intelligence for board-rule purposes.","Creates a direct AI disclosure obligation for Arizona behavioral-health licensees. Behavioral-health providers will need to update informed-consent materials before January 1, 2027 if they use AI, machine learning, deep learning, ambient documentation, or other human-simulation tools to provide, record, or document clinical services. This is especially relevant to AI scribes, AI-assisted documentation, telehealth workflows, and AI tools used in therapy or counseling practice.",Medium,Transparency & Governance; Clinical Quality & Efficacy; Safety & Risk; Privacy & Data,Providers & Health Systems; Patients & Public; Regulators & Government,https://bbhe.az.gov/sites/default/files/2025-10/Rules%20-%20Effective%2011.02.2025.pdf
Food and Drug Administration,Computer Software Assurance for Production and Quality System Software,Cross-cutting Healthcare,2025-09-24,Final Guidance,Final,"Final guidance detailing risk‑based Computer Software Assurance for production and quality system software, clarifying documentation expectations, testing approaches, and supplier controls used in medical device manufacturing and quality systems.","Device makers, including AI‑enabled products, should revise validation plans to focus on intended use and risk, streamline evidence, and align Quality Management System procedures and supplier oversight to U.S. Food and Drug Administration expectations.",Medium,Clinical Quality & Efficacy; Safety & Risk; Transparency & Governance,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2025/09/24/2025-18468/computer-software-assurance-for-production-and-quality-system-software-guidance-for-industry-and
Food and Drug Administration,Medical Devices; Laboratory Developed Tests — Final Rule Vacated / Implementation of Vacatur,Diagnostics / Laboratory Developed Tests,2025-09-19,Final Rule,Vacated / Historical,"FDA’s 2024 final rule amending the definition of in vitro diagnostic products to include tests manufactured by laboratories was vacated by a federal district court on March 31, 2025. FDA issued a September 19, 2025 final rule implementing the vacatur and reverting the regulation to the pre-2024 text. The original LDT rule should therefore be treated as historical rather than an active regulatory requirement.","This is a major status change for AI-enabled diagnostic and laboratory-developed tests. The 2024 rule no longer creates active FDA oversight obligations for laboratory-developed tests, including AI-enabled or algorithmic diagnostic tests developed and used within laboratories. HAPI should not present the 2024 LDT final rule as an active source of current compliance duties.",Low,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance,Regulators & Government; Providers & Health Systems; Developers & Vendors; Patients & Public,https://www.fda.gov/medical-devices/in-vitro-diagnostics/laboratory-developed-tests
Joint Commission; Coalition for Health AI,Guidance on Responsible Use of AI in Healthcare (RUAIH),Hospitals,2025-09-17,Guidance,Active,"First national joint guidance from the Joint Commission and the Coalition for Health AI that outlines high-level recommendations for internal governance of AI in hospitals and health systems, including policies, local validation, monitoring, and lifecycle oversight of AI tools used in clinical and operational workflows.","Provides a voluntary but influential framework for health systems to stand up AI governance committees, require local validation and ongoing monitoring of AI models, document roles and responsibilities, and prepare for a future Joint Commission voluntary AI certification, which is likely to shape expectations for safe, equitable, and effective use of AI in care delivery.",Medium,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance; Equity & Bias,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://digitalassets.jointcommission.org/api/public/content/dcfcf4f1a0cc45cdb526b3cb034c68c2
Food and Drug Administration,"Digital Health Advisory Committee – Nov 6, 2025 Meeting (Generative AI-Enabled Digital Mental Health Devices)",Cross-cutting Healthcare,2025-09-12,Notice,Issued,"U.S. Food and Drug Administration announced a Digital Health Advisory Committee meeting focused on generative‑AI digital mental‑health devices, opening a public docket and inviting expert input on benefits, risks, evidence, and oversight priorities.","Signals near‑term policy attention; developers and clinicians can submit comments, preview evidence expectations, and anticipate future guidance affecting evaluation and post‑market monitoring of mental‑health AI tools.",Low,Clinical Quality & Efficacy; Safety & Risk,Regulators & Government; Providers & Health Systems; Patients & Public; Developers & Vendors,https://www.federalregister.gov/documents/2025/09/12/2025-17651/digital-health-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for
Centers for Medicare & Medicaid Services,CMS Artificial Intelligence Playbook (Version 4),Cross-cutting Healthcare,2025-09-12,Guidance,Active,"Version 4 of the CMS Artificial Intelligence Playbook updates CMS’s internal reference for artificial intelligence, describing the agency’s AI portfolio and maturity model, guiding principles, governance structures, and a stepwise framework for planning, validating, and deploying AI projects aligned with recent federal AI policy.","Because CMS oversees Medicare, Medicaid, and Marketplace programs, the playbook shapes how the agency evaluates, governs, and uses AI in coverage, payment, and program integrity operations, indirectly setting expectations for contractors, plans, and providers that interact with CMS-governed AI tools.",Medium,Safety & Risk; Transparency & Governance; Clinical Quality & Efficacy,Regulators & Government; Payers & Purchasers; Providers & Health Systems; Developers & Vendors,https://ai.cms.gov/CMS-AI-Playbook.pdf
