Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags
Food and Drug Administration,Computer Software Assurance for Production and Quality System Software,Cross-cutting Healthcare,2025-09-24,Final Guidance,Final,"Final guidance detailing risk‑based Computer Software Assurance for production and quality system software, clarifying documentation expectations, testing approaches, and supplier controls used in medical device manufacturing and quality systems.","Device makers, including AI‑enabled products, should revise validation plans to focus on intended use and risk, streamline evidence, and align Quality Management System procedures and supplier oversight to U.S. Food and Drug Administration expectations.",Medium,Clinical Quality & Efficacy; Safety & Risk; Transparency & Governance,Developers & Vendors; Providers & Health Systems; Regulators & Government
Food and Drug Administration,"Digital Health Advisory Committee – Nov 6, 2025 Meeting (Generative AI-Enabled Digital Mental Health Devices)",Cross-cutting Healthcare,2025-09-12,Notice,Issued,"U.S. Food and Drug Administration announced a Digital Health Advisory Committee meeting focused on generative‑AI digital mental‑health devices, opening a public docket and inviting expert input on benefits, risks, evidence, and oversight priorities.","Signals near‑term policy attention; developers and clinicians can submit comments, preview evidence expectations, and anticipate future guidance affecting evaluation and post‑market monitoring of mental‑health AI tools.",Low,Clinical Quality & Efficacy; Safety & Risk,Regulators & Government; Providers & Health Systems; Patients & Public; Developers & Vendors
Federal Trade Commission,Section 6(b) Market Study – AI Companion Chatbots,Cross-cutting AI policy,2025-09-11,Study,In Development,"Federal Trade Commission issued compulsory orders to several 'AI companion' chatbot companies under Section 6(b), seeking information on data practices, safety safeguards, marketing claims, and impacts on minors and vulnerable users.","Not binding for providers, but frames consumer‑protection risks; health systems and vendors should review chatbot use, disclosures, and guardrails, anticipating stricter expectations or enforcement around mental‑health harms.",Low,Safety & Risk; Privacy & Data; Equity & Bias,Patients & Public; Developers & Vendors; Regulators & Government
National Institute of Standards and Technology,AI Standards “Zero Drafts” Pilot – Extended Outline for Documentation of AI Datasets and Models,Cross-cutting AI policy,2025-09-10,Standards Pilot,Comments Open,"National Institute of Standards and Technology released an outline for a forthcoming ‘zero draft’ standard on documentation of AI datasets and models, requesting input on transparency artifacts, provenance, curation, metadata, and quality reporting.","Developers can align documentation templates early, easing future conformance; health systems may require such artifacts in procurement, improving reproducibility and auditability of clinical‑AI training datasets.",Low,Transparency & Governance; Safety & Risk,Developers & Vendors; Regulators & Government; Providers & Health Systems
National Institutes of Health,Supporting Fairness and Originality in NIH Research Applications,Biomedical Research,2025-08-05,Notice,Issued,Sets expectations for appropriate use of AI tools in NIH grant applications to preserve fairness and originality.,"Academic medical centers and investigators must adjust internal grant‑writing practices, disclosures, and oversight for AI tool use. Research offices should update policies to ensure originality and document acceptable AI assistance.",Low,Transparency & Governance; Equity & Bias,Developers & Vendors; Providers & Health Systems; Regulators & Government
Centers for Medicare & Medicaid Services,Medicare Program; Hospital Inpatient Prospective Payment Systems and Long-Term Care Hospital Prospective Payment System FY 2026 Rule,Hospitals,2025-08-04,Final Rule,Final,Updates Medicare hospital inpatient and long‑term care hospital prospective payment system policies and rates for FY 2026; adjusts quality reporting and value‑based programs; and finalizes several policy clarifications and technical changes. Includes provisions affecting graduate medical education and hospital quality measures.,"Impacts hospital reimbursement, quality reporting, and documentation practices that interact with Electronic Health Records and AI‑enabled analytics. Changes to measure sets and program requirements shape how hospitals deploy clinical decision support and reporting automations. Budget and compliance teams should align AI/analytics workflows with updated payment and quality policies.",Low,,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors
Agency for Healthcare Research and Quality,Artificial Intelligence in Healthcare Safety Program,Patient Safety,2025-07-01,Final Rule,Issued,"Establishes an AI in Healthcare Safety Program within the Patient Safety Organization framework to identify harms and near‑misses from AI used in care. Provides resources and a pathway for learning from incidents, informed by EO 14110 and PSO confidentiality protections.","Hospitals and PSOs gain a structured channel to report and analyze AI‑related safety events. Risk and quality teams should integrate AI incident capture, root‑cause analysis, and feedback loops into PSO workflows.",Medium,Safety & Risk; Transparency & Governance,Providers & Health Systems; Regulators & Government; Developers & Vendors
Centers for Medicare & Medicaid Services,"Medicare and Medicaid Programs; Contract Year 2026 Policy and Technical Changes to Medicare Advantage, Part D, Cost Plans, and PACE",Insurance,2025-04-15,Final Rule,Final,"Finalizes Contract Year 2026 policy and technical changes for Medicare Advantage (Part C), Part D, cost plans, and for the Program of All-Inclusive Care for the Elderly, including adjustments to the Medicare Prescription Payment Plan, D‑SNPs, Star Ratings, utilization management, and other programmatic areas. Implements Inflation Reduction Act‑related changes and clarifies several beneficiary protections.","Affects plan operations, prior authorization, and beneficiary communications–areas where plans increasingly use AI for triage, utilization review, and member outreach. Transparency and documentation requirements inform how AI‑assisted workflows must be governed. Providers may experience updated prior authorization processes and data exchange with Medicare Advantage/Part D plans.",Medium,Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers
Food and Drug Administration,Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management & Marketing Submission Recommendations,Medical Devices,2025-01-07,Draft Guidance,Draft,Draft guidance outlining documentation and lifecycle considerations for marketing submissions involving AI‑enabled device software functions. Provides recommended content for safety/effectiveness evaluation and total product lifecycle practices.,Helps device developers and provider‑innovators structure submissions and ongoing model management for AI‑enabled Software as a Medical Device. Supports iterative improvement with clarity on evidence and transparency expectations.,Medium,,Providers & Health Systems; Patients & Public; Regulators & Government
Food and Drug Administration,Considerations for the Use of Artificial Intelligence To Support Regulatory Decision-Making for Drug & Biological Products,Drugs & Biologics,2025-01-07,Draft Guidance,Draft,"Draft guidance recommending practices for use of AI to generate information intended to support regulatory decisions for drugs/biologics, including transparency, validation, and risk management.","Sponsors using AI in clinical development and CMC should align methods and documentation with U.S. Food and Drug Administration expectations, improving credibility and reproducibility of AI‑derived evidence.",Medium,Privacy & Data; Clinical Quality & Efficacy,Regulators & Government
