Issuing Body,Regulation Name,Sector,Date Issued/Significantly Updated,Policy Type,Status,Summary,Healthcare Implications,Impact Level,Keyword Tags,Stakeholder Tags,Link to Text,Last Updated
World Health Organization (WHO),Ethics and Governance of Artificial Intelligence for Health: Guidance on Large Multi-modal Models,Guidance,2026-01-14,Final Guidance,Final,"WHO guidance setting out ethical and governance considerations for the development and use of large multi-modal models (LMMs) in health, including generative AI, with principles and recommendations for governments, developers and health institutions on risk management, transparency, accountability and oversight across the AI lifecycle.","Provides a health-specific reference for safe and responsible deployment of LMMs in clinical care, public health and health research, supporting national regulations, procurement decisions, institutional governance frameworks and risk management for generative AI tools in health.",Medium,Safety & Risk; Privacy & Data; Transparency & Governance; Clinical Quality & Efficacy; Equity & Bias,Providers & Health Systems; Patients & Public; Payers & Purchasers; Developers & Vendors; Regulators & Government,https://iris.who.int/items/c922c8de-c1af-498a-94db-da1e202994a3,2/17/25
New Mexico Counseling and Therapy Practice Board,NMAC 16.27.18.24 – Use of Artificial Intelligence,Cross-cutting Healthcare,2025-11-18,Final Rule,In Effect,"The New Mexico Counseling and Therapy Practice Board amended its ethics regulations to add Section 16.27.18.24 on the use of artificial intelligence in counseling and therapy practice. The rule requires licensees who use AI tools to maintain professional responsibility for clinical decisions, inform clients when AI is used in services, safeguard client confidentiality and data when interacting with AI systems, and avoid discriminatory or otherwise unethical use of AI in treatment or assessment.","The rule establishes one of the first explicit state-level professional standards for AI use in mental health care. It sets expectations that AI systems can assist but not replace licensed clinicians, encourages transparency with clients, and emphasizes privacy and nondiscrimination, which may influence how vendors design AI tools for therapy and how clinics integrate chatbots, decision-support, and other AI features into counseling workflows.",Medium,Clinical Quality & Efficacy; Safety & Risk; Equity & Bias; Transparency & Governance,Providers & Health Systems; Patients & Public; Regulators & Government; Developers & Vendors,https://www.srca.nm.gov/parts/title16/16.027.0018.html,1/12/26
Food and Drug Administration,Computer Software Assurance for Production and Quality System Software,Cross-cutting Healthcare,2025-09-24,Final Guidance,Final,"Final guidance detailing risk‑based Computer Software Assurance for production and quality system software, clarifying documentation expectations, testing approaches, and supplier controls used in medical device manufacturing and quality systems.","Device makers, including AI‑enabled products, should revise validation plans to focus on intended use and risk, streamline evidence, and align Quality Management System procedures and supplier oversight to U.S. Food and Drug Administration expectations.",Medium,Clinical Quality & Efficacy; Safety & Risk; Transparency & Governance,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2025/09/24/2025-18468/computer-software-assurance-for-production-and-quality-system-software-guidance-for-industry-and,9/28
Joint Commission; Coalition for Health AI,Guidance on Responsible Use of AI in Healthcare (RUAIH),Hospitals,2025-09-17,Guidance,Active,"First national joint guidance from the Joint Commission and the Coalition for Health AI that outlines high-level recommendations for internal governance of AI in hospitals and health systems, including policies, local validation, monitoring, and lifecycle oversight of AI tools used in clinical and operational workflows.","Provides a voluntary but influential framework for health systems to stand up AI governance committees, require local validation and ongoing monitoring of AI models, document roles and responsibilities, and prepare for a future Joint Commission voluntary AI certification, which is likely to shape expectations for safe, equitable, and effective use of AI in care delivery.",Medium,Safety & Risk; Clinical Quality & Efficacy; Transparency & Governance; Equity & Bias,Providers & Health Systems; Patients & Public; Developers & Vendors; Regulators & Government,https://digitalassets.jointcommission.org/api/public/content/dcfcf4f1a0cc45cdb526b3cb034c68c2,
Food and Drug Administration,"Digital Health Advisory Committee – Nov 6, 2025 Meeting (Generative AI-Enabled Digital Mental Health Devices)",Cross-cutting Healthcare,2025-09-12,Notice,Issued,"U.S. Food and Drug Administration announced a Digital Health Advisory Committee meeting focused on generative‑AI digital mental‑health devices, opening a public docket and inviting expert input on benefits, risks, evidence, and oversight priorities.","Signals near‑term policy attention; developers and clinicians can submit comments, preview evidence expectations, and anticipate future guidance affecting evaluation and post‑market monitoring of mental‑health AI tools.",Low,Clinical Quality & Efficacy; Safety & Risk,Regulators & Government; Providers & Health Systems; Patients & Public; Developers & Vendors,https://www.federalregister.gov/documents/2025/09/12/2025-17651/digital-health-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,9/28
Centers for Medicare & Medicaid Services,CMS Artificial Intelligence Playbook (Version 4),Cross-cutting Healthcare,2025-09-12,Guidance,Active,"Version 4 of the CMS Artificial Intelligence Playbook updates CMS’s internal reference for artificial intelligence, describing the agency’s AI portfolio and maturity model, guiding principles, governance structures, and a stepwise framework for planning, validating, and deploying AI projects aligned with recent federal AI policy.","Because CMS oversees Medicare, Medicaid, and Marketplace programs, the playbook shapes how the agency evaluates, governs, and uses AI in coverage, payment, and program integrity operations, indirectly setting expectations for contractors, plans, and providers that interact with CMS-governed AI tools.",Medium,Safety & Risk; Transparency & Governance; Clinical Quality & Efficacy,Regulators & Government; Payers & Purchasers; Providers & Health Systems; Developers & Vendors,https://ai.cms.gov/CMS-AI-Playbook.pdf,
Federal Trade Commission,Section 6(b) Market Study – AI Companion Chatbots,Cross-cutting AI policy,2025-09-11,Study,In Development,"Federal Trade Commission issued compulsory orders to several 'AI companion' chatbot companies under Section 6(b), seeking information on data practices, safety safeguards, marketing claims, and impacts on minors and vulnerable users.","Not binding for providers, but frames consumer‑protection risks; health systems and vendors should review chatbot use, disclosures, and guardrails, anticipating stricter expectations or enforcement around mental‑health harms.",Low,Safety & Risk; Privacy & Data; Equity & Bias,Patients & Public; Developers & Vendors; Regulators & Government,https://www.ftc.gov/news-events/news/press-releases/2025/09/ftc-launches-inquiry-ai-chatbots-acting-companions,9/28
National Institute of Standards and Technology,AI Standards “Zero Drafts” Pilot – Extended Outline for Documentation of AI Datasets and Models,Cross-cutting AI policy,2025-09-10,Standards Pilot,Comments Open,"National Institute of Standards and Technology released an outline for a forthcoming ‘zero draft’ standard on documentation of AI datasets and models, requesting input on transparency artifacts, provenance, curation, metadata, and quality reporting.","Developers can align documentation templates early, easing future conformance; health systems may require such artifacts in procurement, improving reproducibility and auditability of clinical‑AI training datasets.",Low,Transparency & Governance; Safety & Risk,Developers & Vendors; Regulators & Government; Providers & Health Systems,https://www.nist.gov/document/extended-outline-proposed-zero-draft-standard-documentation-ai-datasets-and-ai-models,9/28
Centers for Medicare & Medicaid Services,Guidance for Responsible Use of Artificial Intelligence at CMS,Cross-cutting AI policy,2025-08-26,Guidance,Active,"Internal CMS information security and privacy guidance that sets best practices for CMS staff, contractors, and partners using generative AI tools, with a focus on safeguarding PII and PHI, avoiding disclosure of sensitive CMS data to public AI systems, maintaining human oversight, documentation, and risk assessment aligned with NIST AI RMF and federal directives.","Strengthens governance around AI use within Medicare, Medicaid, and Marketplace operations by restricting how CMS-related health data can be fed into AI tools, pushing vendors and contractors to meet stricter privacy and security expectations, and indirectly shaping how analytics and automation that touch federal health programs are designed, deployed, and monitored.",Medium,Safety & Risk; Privacy & Data; Transparency & Governance,Regulators & Government; Payers & Purchasers; Developers & Vendors; Patients & Public,https://security.cms.gov/policy-guidance/guidance-responsible-use-artificial-intelligence-ai-cms?utm_source=chatgpt.com,
National Institutes of Health,Supporting Fairness and Originality in NIH Research Applications,Biomedical Research,2025-08-05,Notice,Issued,Sets expectations for appropriate use of AI tools in NIH grant applications to preserve fairness and originality.,"Academic medical centers and investigators must adjust internal grant‑writing practices, disclosures, and oversight for AI tool use. Research offices should update policies to ensure originality and document acceptable AI assistance.",Medium,Transparency & Governance; Equity & Bias,Developers & Vendors; Providers & Health Systems; Regulators & Government,https://www.federalregister.gov/documents/2025/08/05/2025-14744/supporting-fairness-and-originality-in-nih-research-applications,10/15/25
